Da,B_nominal,B_measured,J_steady,J_over_J_lte,t_lag,t_lag_over_lte,hf_fraction,c_metal_gamma
3.162277660168379523e+00,1.000000000000000000e+00,1.241403512542808896e+00,3.736720993820014592e+18,1.330719978585544139e+00,8.269132452945370460e+03,1.044622508885422185e+00,5.538509843926855414e-01,5.206535596455159262e+24
3.162277660168379523e+00,3.162277660168379523e+00,5.948648465161669563e+00,5.044988601941889024e+18,1.796619853460697191e+00,8.792506412888995328e+03,1.110739265659208108e+00,8.560871561446751210e-01,3.435923219445142084e+24
3.162277660168379523e+00,1.000000000000000000e+01,4.100125086643588901e+01,6.418948980654822400e+18,2.285914218429902167e+00,9.588882777143920976e+03,1.211343855122364310e+00,9.761912210745906648e-01,1.576392395492959294e+24
3.162277660168379523e+00,3.162277660168379256e+01,3.596328830222000192e+02,7.163769435306707968e+18,2.551159459137903873e+00,1.007237553604983259e+04,1.272422501728917021e+00,9.972271067347052709e-01,5.683312574861125091e+23
3.162277660168379523e+00,1.000000000000000000e+02,3.451725780176611806e+03,7.445332174523227136e+18,2.651429498811821439e+00,1.025886823920921233e+04,1.295981741657863395e+00,9.997103751109701619e-01,1.872510904366157099e+23
1.000000000000000000e+01,1.000000000000000021e-02,9.948755948232862120e-03,2.783442705699889152e+18,9.912387956844750381e-01,8.003839016290001382e+03,1.011108534237325163e+00,9.850753622485766345e-03,6.496703347833720250e+24
1.000000000000000000e+01,3.162277660168379134e-02,3.164139764140850436e-02,2.810851782614060032e+18,1.000999708073865957e+00,8.001943656412729069e+03,1.010869097319183618e+00,3.067092795371721692e-02,6.459607869170836975e+24
1.000000000000000000e+01,1.000000000000000056e-01,1.018768918773705900e-01,2.896024308934354432e+18,1.031331323034808456e+00,7.998469792935940859e+03,1.010430251285298286e+00,9.245760289202435700e-02,6.344335281079373835e+24
1.000000000000000000e+01,3.162277660168379412e-01,3.406873353032899288e-01,3.150910231390873088e+18,1.122101222589538816e+00,8.007745406915193598e+03,1.011602020536981783e+00,2.541139448612779739e-01,5.999372428256675289e+24
1.000000000000000000e+01,1.000000000000000000e+00,1.272169650926634699e+00,3.829756878248939520e+18,1.363851890317702154e+00,8.147481008302208465e+03,1.029254531889550961e+00,5.598920287351223379e-01,5.080620809025722216e+24
1.000000000000000000e+01,3.162277660168379523e+00,6.171218375908093634e+00,5.136550120071568384e+18,1.829226714301069423e+00,8.729828517442703742e+03,1.102821295936828871e+00,8.605537125926069342e-01,3.312003919864685083e+24
1.000000000000000000e+01,1.000000000000000000e+01,4.310161260925341509e+01,6.475708570717548544e+18,2.306127426908060496e+00,9.571987577518908438e+03,1.209209519275063371e+00,9.773251258713669953e-01,1.499573993127030039e+24
1.000000000000000000e+01,3.162277660168379256e+01,3.805569364611210403e+02,7.186858241593279488e+18,2.559381838025181377e+00,1.006842464045242923e+04,1.271923393207583297e+00,9.973791683438528732e-01,5.370827962078423113e+23
1.000000000000000000e+01,1.000000000000000000e+02,3.660935583357686028e+03,7.453238733300064256e+18,2.654245180192261522e+00,1.025779357481459010e+04,1.295845981513433554e+00,9.997269216513419154e-01,1.765503088523115024e+23
3.162277660168379256e+01,1.000000000000000021e-02,1.000189291010027820e-02,2.808945109079896576e+18,1.000320704057042764e+00,7.949562285070596772e+03,1.004251866326494991e+00,9.902846121045767031e-03,6.462188371311285206e+24
3.162277660168379256e+01,3.162277660168379134e-02,3.181258884517377400e-02,2.836535752291807232e+18,1.010146275782851655e+00,7.947867638325498774e+03,1.004037785085855505e+00,3.083175231991563611e-02,6.424847161454868382e+24
3.162277660168379256e+01,1.000000000000000056e-01,1.024502328182318178e-01,2.922258021447759360e+18,1.040673665000342529e+00,7.945622499277489624e+03,1.003754161283906265e+00,9.292957982504916614e-02,6.308830560891985134e+24
3.162277660168379256e+01,3.162277660168379412e-01,3.428327568420835303e-01,3.178650442839431168e+18,1.131980058511684151e+00,7.957223652962703454e+03,1.005219711187426812e+00,2.553056343393073080e-01,5.961828810353807072e+24
3.162277660168379256e+01,1.000000000000000000e+00,1.282616550016685508e+00,3.860332896603416576e+18,1.374740612959074904e+00,8.106177236708977034e+03,1.024036711307564351e+00,5.619062799513008244e-01,5.039239202975665803e+24
3.162277660168379256e+01,3.162277660168379523e+00,6.247235969361820018e+00,5.166327812273483776e+18,1.839831137268370220e+00,8.709169043538744518e+03,1.100211427055829194e+00,8.620163896507372359e-01,3.271702809579541246e+24
3.162277660168379256e+01,1.000000000000000000e+01,4.382068889611784357e+01,6.493890418997927936e+18,2.312602341356938762e+00,9.566573980236047646e+03,1.208525630655804095e+00,9.776889078401947986e-01,1.474966688619074203e+24
3.162277660168379256e+01,3.162277660168379256e+01,3.877221634826451577e+02,7.194191962601836544e+18,2.561993520588476514e+00,1.006716954583084043e+04,1.271764839683382942e+00,9.974274775321103625e-01,5.271573157531277507e+23
3.162277660168379256e+01,1.000000000000000000e+02,3.732578089655316489e+03,7.455742556319013888e+18,2.655136840907543316e+00,1.025745325230108210e+04,1.295802989269698946e+00,9.997321616694981872e-01,1.731616205528538483e+23
1.000000000000000000e+02,1.000000000000000021e-02,1.001905221361128022e-02,2.817122715785642496e+18,1.003232910946009859e+00,7.930825638857696504e+03,1.001884904316103331e+00,9.919666967281283443e-03,6.451120792552505820e+24
1.000000000000000000e+02,3.162277660168379134e-02,3.186787462798184450e-02,2.844771378401713664e+18,1.013079144524922315e+00,7.929729940262223863e+03,1.001746486964307792e+00,3.088367877792586730e-02,6.413701052418728118e+24
1.000000000000000000e+02,1.000000000000000056e-01,1.026354301601939134e-01,2.930669259531044864e+18,1.043669072626595362e+00,7.927117890486107171e+03,1.001416512084114752e+00,9.308193026279172611e-02,6.297446786737196386e+24
1.000000000000000000e+02,3.162277660168379412e-01,3.435261746628771595e-01,3.187542209666227712e+18,1.135146591892397083e+00,7.940752589135770904e+03,1.003138955543855682e+00,2.556899845763357382e-01,5.949794676693423738e+24
1.000000000000000000e+02,1.000000000000000000e+00,1.285997932072967531e+00,3.870123114032320512e+18,1.378227102303311469e+00,8.092775853682417619e+03,1.022343742131003097e+00,5.625542957741911376e-01,5.025989105402800733e+24
1.000000000000000000e+02,3.162277660168379523e+00,6.271888190866445889e+00,5.175829605724590080e+18,1.843214913150672318e+00,8.702546343553907718e+03,1.099374794977056480e+00,8.624841637326003951e-01,3.258843088083561361e+24
1.000000000000000000e+02,1.000000000000000000e+01,4.405406152882801507e+01,6.499663671531521024e+18,2.314658310347017967e+00,9.564853786302524895e+03,1.208308322091352860e+00,9.778044755889473416e-01,1.467153171519859180e+24
1.000000000000000000e+02,3.162277660168379256e+01,3.900477764745643867e+02,7.196514344891728896e+18,2.562820566684822499e+00,1.006677207589393038e+04,1.271714628123093771e+00,9.974427766631096537e-01,5.240141964615890785e+23
1.000000000000000000e+02,1.000000000000000000e+02,3.755831127342992204e+03,7.456534690189274112e+18,2.655418935387867663e+00,1.025734558441789886e+04,1.295789387807284809e+00,9.997338194641868236e-01,1.720895420727380977e+23
