a_F,c_0,c_m,c_H2,c_HF,w_rec,w_F,J,B,n_flux,n_flux_pred,n_conc,n_conc_pred,err_analytical
1.000000000000000056e-01,4.641588833612777382e-02,4.363877062226032000e-02,4.760855753555625161e-04,1.745550824890412713e-03,9.521711507111252490e-04,8.727754124452065734e-04,2.777117713867457288e-03,4.583080530182928602e-01,1.685274398627067072e+00,1.685726172827666902e+00,1.353332973959791019e+00,1.352953773340119792e+00,1.110223024625156540e-16
1.000000000000000056e-01,5.623413251903491145e-02,5.243589191927901932e-02,6.873806903425776129e-04,2.097435676771160738e-03,1.374761380685155659e-03,1.048717838385580803e-03,3.798240599755892122e-03,3.814181330373563328e-01,1.723396026805245285e+00,1.723893784281864461e+00,1.396211037466574822e+00,1.395934147151281390e+00,3.330669073875469621e-16
1.000000000000000056e-01,6.812920690579611638e-02,6.291291389337359818e-02,9.895086836387602391e-04,2.516516555734944500e-03,1.979017367277520478e-03,1.258258277867471166e-03,5.216293012422512122e-03,3.178997563822348882e-01,1.758265111002467407e+00,1.758783052472138619e+00,1.440379715046534059e+00,1.440218537145723232e+00,2.220446049250313081e-16
1.000000000000000056e-01,8.254041852680181479e-02,7.535495088604300673e-02,1.419592155759488109e-03,3.014198035441720356e-03,2.839184311518977086e-03,1.507099017720859961e-03,7.185467640758814133e-03,2.654105638028400604e-01,1.789741524622657565e+00,1.790257350938163183e+00,1.485090498672436254e+00,1.485050205714511629e+00,2.220446049250313081e-16
1.000000000000000056e-01,1.000000000000000056e-01,9.008332754709992563e-02,2.028751475489521533e-03,3.603333101883996695e-03,4.057502950979050005e-03,1.801666550941999866e-03,9.916672452900100743e-03,2.220166655094198971e-01,1.817823357351228353e+00,1.818319445408816737e+00,1.529565411085327398e+00,1.529642316188538853e+00,4.440892098500626162e-16
1.000000000000000056e-01,1.211527658628587661e-01,1.074566914876369239e-01,2.886735136367277361e-03,4.298267659505476852e-03,5.773470272734627581e-03,2.149133829752739727e-03,1.369607437522199489e-02,1.861214943724646409e-01,1.842620210337560849e+00,1.843083954505912558e+00,1.573052467958659051e+00,1.573234759638997060e+00,4.996003610813204432e-15
1.000000000000000056e-01,1.467799267622069137e-01,1.278714029976636413e-01,4.087773926147497509e-03,5.114856119906546587e-03,8.175547852295907483e-03,2.557428059953271993e-03,1.890852376454508696e-02,1.564071366321389267e-01,1.864323828634670832e+00,1.864747344012723129e+00,1.614877030743461006e+00,1.615146677963700483e+00,4.451994328746877727e-14
1.000000000000000056e-01,1.778279410038922925e-01,1.517612416906140294e-01,5.757868619866496861e-03,6.070449667624561001e-03,1.151573723974397105e-02,3.035224833812280934e-03,2.606669931330022477e-02,1.317859538917268147e-01,1.883179867717641898e+00,1.883559295431639358e+00,1.654481820346990872e+00,1.654817175570841181e+00,3.672617765460017836e-13
1.000000000000000056e-01,2.154434690031882260e-01,1.795965987468240432e-01,8.063734570356929574e-03,7.183863949872961938e-03,1.612746914071385915e-02,3.591931974936481836e-03,3.584687025636419666e-02,1.113606835516626620e-01,1.899463257502093327e+00,1.899797891719744225e+00,1.691451034436640910e+00,1.691829552520364821e+00,0.000000000000000000e+00
1.000000000000000056e-01,2.610157215682535892e-01,2.118834542834830692e-01,1.122364954977521367e-02,8.475338171339323601e-03,2.244729909955043429e-02,4.237669085669661800e-03,4.913226728477053384e-02,9.439151380476175357e-02,1.913458372827733456e+00,1.913749775455951596e+00,1.725517438795780123e+00,1.725918003141410084e+00,1.110223024625156540e-16
1.000000000000000056e-01,3.162277660168379412e-01,2.491625425538577798e-01,1.552049315297574818e-02,9.966501702154311262e-03,3.104098630595148942e-02,4.983250851077158233e-03,6.706522346298013360e-02,8.026888710881134592e-02,1.925444248108916234e+00,1.925695455949268720e+00,1.756554435615562682e+00,1.756958980267596893e+00,4.440892098500626162e-16
1.000000000000000056e-01,3.831186849557284835e-01,2.920091551570521138e-01,2.131733667388383338e-02,1.168036620628208622e-02,4.263467334776766676e-02,5.840183103141039639e-03,9.110952979867636969e-02,6.849100326749459067e-02,1.935684440735156109e+00,1.935899316832761397e+00,1.784557184533472451e+00,1.784951529039046969e+00,2.220446049250313081e-16
1.000000000000000056e-01,4.641588833612777520e-01,3.410340083458931471e-01,2.907604871211667830e-02,1.364136033383572810e-02,5.815209742423335659e-02,6.820680166917857112e-03,1.231248750153845772e-01,5.864517763787070043e-02,1.944420814308687184e+00,1.944603556624397989e+00,1.809617600638479651e+00,1.809991595894369310e+00,2.220446049250313081e-16
1.000000000000000056e-01,5.623413251903490728e-01,3.968855083142243667e-01,3.937952667746005830e-02,1.587542033256897356e-02,7.875905335492014436e-02,7.937710166284493718e-03,1.654558168761247894e-01,5.039236651635439074e-02,1.951870400894225810e+00,1.952025197323661754e+00,1.831897668188562811e+00,1.832244849958226673e+00,2.220446049250313081e-16
1.000000000000000056e-01,6.812920690579608030e-01,4.602536106905044666e-01,5.295834653841155482e-02,1.841014442762018213e-02,1.059166930768233317e-01,9.205072213810082393e-03,2.210384583674567527e-01,4.345430331332886947e-02,1.958224530040083344e+00,1.958355336524708168e+00,1.851604430960462899e+00,1.851921396882936222e+00,7.771561172376095783e-16
1.000000000000000056e-01,8.254041852680181757e-01,5.318753213643290234e-01,7.072283936910063462e-02,2.127501285457316163e-02,1.414456787382069869e-01,1.063750642728657908e-02,2.935288639037005320e-01,3.760279749151926310e-02,1.963649516043314947e+00,1.963759930502860351e+00,1.868968717715776329e+00,1.869254409833659203e+00,1.021405182655144017e-14
1.000000000000000056e-01,1.000000000000000000e+00,6.125417586887892396e-01,9.380185153435872947e-02,2.450167034755157056e-02,1.876037030688374740e-01,1.225083517377578701e-02,3.874582413114507351e-01,3.265083517376143191e-02,1.968288328244739649e+00,1.968381534143370803e+00,1.884228481651326170e+00,1.884483500097605901e+00,1.454392162258955068e-13
1.000000000000000056e-01,1.211527658628587689e+00,7.031066146998736777e-01,1.235897279086791423e-01,2.812426458799494738e-02,2.471794558173583400e-01,1.406213229399747022e-02,5.084210439287141226e-01,2.844518822872565619e-02,1.972262804204689690e+00,1.972341561267143328e+00,1.897616755876773365e+00,1.897842773259347249e+00,1.110223024625156540e-16
1.000000000000000056e-01,1.467799267622069026e+00,8.044958225958989129e-01,1.618033821435630182e-01,3.217983290383596290e-02,3.236067642871260364e-01,1.608991645191797104e-02,6.633034450261700021e-01,2.486029067927933781e-02,1.975676087246498902e+00,1.975742751567823863e+00,1.909353690652145552e+00,1.909552992839232521e+00,2.220446049250313081e-16
1.000000000000000056e-01,1.778279410038922759e+00,9.177182530313614528e-01,2.105516979867334826e-01,3.670873012125445978e-02,4.211033959734669652e-01,1.835436506062723683e-02,8.605611570075611949e-01,2.179318100510369005e-02,1.978615071569283179e+00,1.978671631979705747e+00,1.919641892061918931e+00,1.919817042780427974e+00,0.000000000000000000e+00
1.000000000000000056e-01,2.154434690031882038e+00,1.043877308551702354e+00,2.724199588272864236e-01,4.175509234206809667e-02,5.448399176545730693e-01,2.087754617103404486e-02,1.110557381480180128e+00,1.915933973864076059e-02,1.981152718193962325e+00,1.981200839759213794e+00,1.928664240930165752e+00,1.928817852810737365e+00,2.220446049250313081e-16
1.000000000000000056e-01,2.610157215682535892e+00,1.184183347717281842e+00,3.505725502527271553e-01,4.736733390869127258e-02,7.011451005054545327e-01,2.368366695434565017e-02,1.425973867965254716e+00,1.688927651157522830e-02,1.983350164759527301e+00,1.983391233537722620e+00,1.936583450562445075e+00,1.936718040033943655e+00,1.110223024625156540e-16
1.000000000000000056e-01,3.162277660168379523e+00,1.339966934885156835e+00,4.488778466463798633e-01,5.359867739540627452e-02,8.977556932927623912e-01,2.679933869770315114e-02,1.822310725283228017e+00,1.492574143384672522e-02,1.985258594556801981e+00,1.985293760100359517e+00,1.943542755992710092e+00,1.943660659952993752e+00,4.440892098500626162e-16
1.000000000000000056e-01,3.831186849557285168e+00,1.512692969671215915e+00,5.720600051231612415e-01,6.050771878684864380e-02,1.144120010246399755e+00,3.025385939342431496e-02,2.318493879886224018e+00,1.322145365979080639e-02,1.986920858366018727e+00,1.986951072135282548e+00,1.949667272258130968e+00,1.949770607691881485e+00,1.265654248072678456e-14
1.000000000000000056e-01,4.641588833612777520e+00,1.703975797883251042e+00,7.258833799429653677e-01,6.815903191533004279e-02,1.451766759885931179e+00,3.407951595766503528e-02,2.937613035729527589e+00,1.173725590753391633e-02,1.988372860116706331e+00,1.988398909065570042e+00,1.955065690498640762e+00,1.955156342314215756e+00,4.440892098500626162e-16
